"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","2,058.90","2,082.11","2,085.58","2,057.94","-","-1.03%"
"Dec 30, 2014","2,080.35","2,088.49","2,088.49","2,079.53","-","-0.49%"
"Dec 29, 2014","2,090.57","2,087.63","2,093.55","2,085.75","-","0.09%"
"Dec 26, 2014","2,088.77","2,084.30","2,092.70","2,084.30","-","0.33%"
"Dec 24, 2014","2,081.88","2,083.25","2,087.56","2,081.86","-","-0.01%"
"Dec 23, 2014","2,082.17","2,081.48","2,086.73","2,079.77","-","0.17%"
"Dec 22, 2014","2,078.54","2,069.28","2,078.76","2,069.28","-","0.38%"
"Dec 19, 2014","2,070.65","2,061.04","2,077.85","2,061.03","-","0.46%"
"Dec 18, 2014","2,061.23","2,018.98","2,061.23","2,018.98","-","2.40%"
"Dec 17, 2014","2,012.89","1,973.77","2,016.75","1,973.77","-","2.04%"
"Dec 16, 2014","1,972.74","1,986.71","2,016.89","1,972.56","-","-0.85%"
"Dec 15, 2014","1,989.63","2,005.03","2,018.69","1,982.26","-","-0.63%"
"Dec 12, 2014","2,002.33","2,030.36","2,032.25","2,002.33","-","-1.62%"
"Dec 11, 2014","2,035.33","2,027.92","2,055.53","2,027.92","-","0.45%"
"Dec 10, 2014","2,026.14","2,058.86","2,058.86","2,024.26","-","-1.64%"
"Dec 09, 2014","2,059.82","2,056.55","2,060.60","2,034.17","-","-0.02%"
"Dec 08, 2014","2,060.31","2,074.84","2,075.78","2,054.27","-","-0.73%"
"Dec 05, 2014","2,075.37","2,072.78","2,079.47","2,070.81","-","0.17%"
"Dec 04, 2014","2,071.92","2,073.64","2,077.34","2,062.34","-","-0.12%"
"Dec 03, 2014","2,074.33","2,067.45","2,076.28","2,066.65","-","0.38%"
"Dec 02, 2014","2,066.55","2,053.77","2,068.77","2,053.77","-","0.64%"
"Dec 01, 2014","2,053.44","2,065.78","2,065.78","2,049.57","-","-0.68%"
"Nov 28, 2014","2,067.56","2,074.78","2,075.76","2,065.06","-","-0.25%"
"Nov 26, 2014","2,072.83","2,067.36","2,073.29","2,066.62","-","0.28%"
"Nov 25, 2014","2,067.03","2,070.15","2,074.21","2,064.75","-","-0.12%"
"Nov 24, 2014","2,069.41","2,065.07","2,070.17","2,065.07","-","0.29%"
"Nov 21, 2014","2,063.50","2,057.46","2,071.46","2,056.75","-","0.52%"
"Nov 20, 2014","2,052.75","2,045.87","2,053.84","2,040.49","-","0.20%"
"Nov 19, 2014","2,048.72","2,051.16","2,052.14","2,040.37","-","-0.15%"
"Nov 18, 2014","2,051.80","2,041.48","2,056.08","2,041.48","-","0.51%"
"Nov 17, 2014","2,041.32","2,038.29","2,043.07","2,034.46","-","0.07%"
"Nov 14, 2014","2,039.82","2,039.74","2,042.22","2,035.20","-","0.02%"
